image_path,duty_cycle
C:\Users\USER\Desktop\data2\data2\z\data_001.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_002.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_003.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_004.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_005.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_006.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_007.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_008.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_009.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_010.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_011.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_012.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_013.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_014.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_015.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_016.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_017.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_018.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_019.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_020.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_021.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_022.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_023.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_024.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_025.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_026.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_027.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_028.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_029.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_030.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_031.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_032.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_033.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_034.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_035.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_036.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_037.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_038.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_039.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_040.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_041.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_042.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_043.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_044.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_045.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_046.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_047.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_048.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_049.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_050.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_051.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_052.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_053.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_054.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_055.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_056.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_057.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_058.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_059.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_060.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_061.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_062.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_063.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_064.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_065.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_066.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_067.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_068.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_069.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_070.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_071.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_072.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_073.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_074.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_075.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_076.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_077.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_078.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_079.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_080.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_081.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_082.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_083.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_084.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_085.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_086.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_087.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_088.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_089.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_090.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_091.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_092.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_093.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_094.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_095.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_096.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_097.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_098.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_099.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_100.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_101.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_102.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_103.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_104.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_105.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_106.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_107.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_108.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_109.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_110.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_111.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_112.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_113.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_114.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_115.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_116.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_117.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_118.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_119.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_120.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_121.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_122.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_123.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_124.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_125.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_126.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_127.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_128.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_129.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_130.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_131.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_132.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_133.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_134.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_135.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_136.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_137.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_138.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_139.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_140.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_141.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_142.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_143.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_144.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_145.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_146.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_147.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_148.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_149.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_150.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_151.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_152.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_153.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_154.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_155.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_156.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_157.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_158.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_159.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_160.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_161.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_162.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_163.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_164.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_165.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_166.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_167.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_168.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_169.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_170.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_171.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_172.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_173.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_174.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_175.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_176.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_177.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_178.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_179.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_180.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_181.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_182.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_183.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_184.jpeg,5
C:\Users\USER\Desktop\data2\data2\z\data_185.jpeg,5
